rating,emotion,count,total_count,percentage
1.0,anger,18215,35253,51.66936147278246
1.0,fear,1132,35253,3.211074234816895
1.0,joy,10371,35253,29.41877287039401
1.0,love,1078,35253,3.057895781919269
1.0,sadness,3711,35253,10.526763679686834
1.0,surprise,746,35253,2.1161319604005335
2.0,anger,5789,13427,43.11461979593357
2.0,fear,559,13427,4.16325314664482
2.0,joy,4868,13427,36.25530647203396
2.0,love,565,13427,4.207939226930811
2.0,sadness,1313,13427,9.778803902584345
2.0,surprise,333,13427,2.480077455872496
3.0,anger,5383,13669,39.38108127880606
3.0,fear,643,13669,4.704074914039066
3.0,joy,5360,13669,39.21281732387153
3.0,love,644,13669,4.711390738166655
3.0,sadness,1262,13669,9.232570049016022
3.0,surprise,377,13669,2.7580656961006658
4.0,anger,5128,14233,36.028946813742714
4.0,fear,675,14233,4.742499824351858
4.0,joy,6031,14233,42.37335768987564
4.0,love,696,14233,4.890044263331694
4.0,sadness,1301,14233,9.1407292910841
4.0,surprise,402,14233,2.8244221176139956
5.0,anger,6202,18553,33.428556028674606
5.0,fear,934,18553,5.034226270683987
5.0,joy,8375,18553,45.14094755565138
5.0,love,1048,18553,5.6486821538295695
5.0,sadness,1491,18553,8.036436155877755
5.0,surprise,503,18553,2.7111518352827035
6.0,anger,7060,23809,29.652652358351883
6.0,fear,1200,23809,5.040110882439413
6.0,joy,11917,23809,50.05250115502541
6.0,love,1463,23809,6.144735184174052
6.0,sadness,1321,23809,5.548322063085387
6.0,surprise,848,23809,3.5616783569238524
7.0,anger,8080,31730,25.464859754175862
7.0,fear,1424,31730,4.487866372518122
7.0,joy,17109,31730,53.920579892845886
7.0,love,2420,31730,7.626851560037819
7.0,sadness,1389,31730,4.377560668137409
7.0,surprise,1308,31730,4.122281752284904
8.0,anger,8391,38719,21.6715307730055
8.0,fear,1617,38719,4.176244221183398
8.0,joy,22050,38719,56.94878483431906
8.0,love,3274,38719,8.455796895580981
8.0,sadness,1521,38719,3.928303933469356
8.0,surprise,1866,38719,4.819339342441696
9.0,anger,6157,35389,17.39806154454774
9.0,fear,1185,35389,3.3484981208850204
9.0,joy,21489,35389,60.72225832885925
9.0,love,3362,35389,9.50012715815649
9.0,sadness,1292,35389,3.6508519596484783
9.0,surprise,1904,35389,5.38020288790302
10.0,anger,11075,79125,13.996840442338074
10.0,fear,1848,79125,2.3355450236966826
10.0,joy,50936,79125,64.37409162717219
10.0,love,7925,79125,10.015797788309637
10.0,sadness,3253,79125,4.111216429699842
10.0,surprise,4088,79125,5.16650868878357
