word,count
love,12167
good,7470
great,6234
best,4045
fun,3664
bad,3074
amazing,2278
beautiful,1974
perfect,1952
funny,1886
family,1723
interesting,1646
original,1596
comedy,1495
excellent,1201
wonderful,1059
awesome,993
brilliant,980
horror,945
classic,935
entertaining,844
boring,840
fantastic,821
enjoyable,675
worst,637
masterpiece,566
terrible,546
really_good,501
well_done,494
highly_recommend,464
really_enjoyed,411
horrible,328
special_effects,313
disappointing,294
underrated,205
romantic_comedy,202
high_school,177
good_acting,176
definitely_worth,147
low_budget,144
well_acted,132
great_cast,130
well_worth,126
top_notch,117
really_bad,105
feel_good,102
science_fiction,100
action_packed,99
let_down,80
bad_acting,79
pleasantly_surprised,77
worth_seeing,76
mind_blowing,73
absolutely_amazing,67
soap_opera,62
good_idea,60
sci_fi,57
rom_com,56
thought_provoking,55
nothing_new,54
nothing_special,52
above_average,52
die_hard,51
surprisingly_good,50
cult_classic,50
good_fun,45
action_flick,35
horror_flick,34
great_family,33
visually_stunning,30
best_horror,25
best_action,25
rip_off,23
hidden_gem,20
wow_wow,9
waste_money,4
hear_warming,1
