emotion,rating,count,total_count,percentage
anger,1.0,18215,81480,22.355179185076093
anger,2.0,5789,81480,7.1048109965635735
anger,3.0,5383,81480,6.606529209621994
anger,4.0,5128,81480,6.293568973981345
anger,5.0,6202,81480,7.6116838487972505
anger,6.0,7060,81480,8.664702994599901
anger,7.0,8080,81480,9.916543937162494
anger,8.0,8391,81480,10.29823269513991
anger,9.0,6157,81480,7.556455571919489
anger,10.0,11075,81480,13.592292587137948
fear,1.0,1132,11217,10.091824908620843
fear,2.0,559,11217,4.9835071766069365
fear,3.0,643,11217,5.732370509048765
fear,4.0,675,11217,6.017651778550414
fear,5.0,934,11217,8.32664705357939
fear,6.0,1200,11217,10.69804760631185
fear,7.0,1424,11217,12.695016492823394
fear,8.0,1617,11217,14.415619149505215
fear,9.0,1185,11217,10.56432201123295
fear,10.0,1848,11217,16.474993313720248
joy,1.0,10371,158506,6.542969982208875
joy,2.0,4868,158506,3.071177116323672
joy,3.0,5360,158506,3.381575460865835
joy,4.0,6031,158506,3.8049032844182555
joy,5.0,8375,158506,5.283711657602867
joy,6.0,11917,158506,7.518327381928759
joy,7.0,17109,158506,10.793913164170442
joy,8.0,22050,158506,13.911145319420084
joy,9.0,21489,158506,13.557215499728716
joy,10.0,50936,158506,32.13506113333249
love,1.0,1078,22475,4.796440489432703
love,2.0,565,22475,2.513904338153504
love,3.0,644,22475,2.8654060066740823
love,4.0,696,22475,3.096774193548387
love,5.0,1048,22475,4.662958843159066
love,6.0,1463,22475,6.509454949944383
love,7.0,2420,22475,10.767519466073415
love,8.0,3274,22475,14.567296996662959
love,9.0,3362,22475,14.95884315906563
love,10.0,7925,22475,35.26140155728587
sadness,1.0,3711,17854,20.78525820544416
sadness,2.0,1313,17854,7.354094320600425
sadness,3.0,1262,17854,7.0684440461521225
sadness,4.0,1301,17854,7.286882491318472
sadness,5.0,1491,17854,8.351069788282738
sadness,6.0,1321,17854,7.398902206788395
sadness,7.0,1389,17854,7.779769239386132
sadness,8.0,1521,17854,8.519099361487621
sadness,9.0,1292,17854,7.236473619357006
sadness,10.0,3253,17854,18.220006721182926
surprise,1.0,746,12375,6.028282828282829
surprise,2.0,333,12375,2.690909090909091
surprise,3.0,377,12375,3.0464646464646465
surprise,4.0,402,12375,3.2484848484848485
surprise,5.0,503,12375,4.064646464646464
surprise,6.0,848,12375,6.852525252525253
surprise,7.0,1308,12375,10.569696969696968
surprise,8.0,1866,12375,15.078787878787878
surprise,9.0,1904,12375,15.385858585858585
surprise,10.0,4088,12375,33.034343434343434
