word,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
worth_seeing,28,29,18,54,81,198,293,307,152,138
good_acting,119,99,98,109,165,268,333,423,245,438
boring,3758,1805,1829,1631,1592,1309,1045,958,730,1089
masterpiece,306,121,132,134,200,355,577,820,1252,4943
original,2014,1027,1206,1229,1643,2213,2782,3086,2386,3409
bad,8997,3865,3637,3563,4399,5155,5540,4913,3353,5123
good_fun,9,2,9,17,35,78,147,114,53,49
low_budget,324,217,224,226,261,362,433,405,218,285
excellent,246,188,259,322,533,923,1860,3255,3147,5320
awesome,238,137,151,163,277,408,752,1374,1864,5086
good,6946,3921,4578,5372,7583,10765,15179,15780,11516,17553
wonderful,205,131,190,205,336,573,1256,2010,2155,4388
funny,2148,1078,1141,1228,1469,2038,2840,3546,2786,4629
disappointing,740,507,659,764,824,659,466,318,192,172
absolutely_amazing,8,4,2,2,9,10,25,51,76,396
comedy,1387,735,842,922,1281,1959,2568,2832,2178,3734
romantic_comedy,33,27,40,55,55,111,149,167,91,126
well_worth,7,3,3,10,32,148,380,610,422,371
pleasantly_surprised,3,7,4,13,27,106,219,323,206,215
horror_flick,33,31,51,39,62,89,109,114,53,48
sci_fi,45,33,40,41,52,54,85,139,111,190
really_enjoyed,39,27,45,59,83,172,481,868,698,856
love,3148,1672,1919,2247,3145,4578,7078,10163,10130,23102
top_notch,19,17,24,43,61,89,154,323,339,658
special_effects,488,276,340,387,447,563,788,834,595,805
amazing,597,321,418,428,624,993,1607,2897,4017,12112
great,2780,1747,2181,2681,4096,6185,9450,13073,12195,22434
fun,3342,1737,1900,2280,3056,4661,6907,7912,5794,8976
hidden_gem,4,2,11,6,5,11,40,80,88,115
great_family,1,1,2,2,6,13,24,49,50,89
worst,6441,1379,1061,929,903,809,745,606,392,568
science_fiction,111,83,77,86,111,158,234,283,247,328
well_acted,18,21,37,54,85,182,291,381,294,344
action_flick,22,25,35,49,71,88,113,117,69,73
good_idea,184,88,109,148,156,147,128,82,60,71
nothing_special,61,50,58,113,169,207,138,55,33,24
action_packed,14,11,18,22,31,70,137,221,192,296
wow_wow,4,,,,1,,2,7,8,46
above_average,18,9,11,32,65,255,225,113,34,42
best_horror,15,2,5,2,6,24,42,68,88,154
well_done,90,72,109,127,230,433,798,1176,1049,1680
hear_warming,,,,,,,1,,,1
classic,533,325,378,438,704,1161,1831,2454,2101,3211
horror,1247,769,888,992,1273,1714,2438,2620,1754,2263
underrated,23,7,14,28,51,106,373,604,543,930
feel_good,42,16,33,32,46,109,177,273,194,431
mind_blowing,14,6,5,14,20,29,54,68,156,580
best_action,2,9,3,5,7,15,34,42,77,175
soap_opera,158,126,108,102,142,128,108,75,49,74
enjoyable,244,139,242,306,569,1406,2295,2076,1125,1219
entertaining,639,351,437,586,1003,1935,2847,2786,1786,2425
highly_recommend,48,25,23,20,24,54,230,881,1106,2081
nothing_new,177,85,127,157,172,170,129,93,42,41
horrible,2450,741,526,424,451,402,389,347,253,428
rip_off,126,52,48,43,39,32,35,33,17,22
really_bad,585,264,211,178,141,130,119,99,63,60
rom_com,29,20,27,28,39,58,48,91,51,110
brilliant,285,175,184,253,358,653,1219,2143,2771,5838
waste_money,47,10,2,4,1,1,,2,,1
let_down,163,131,156,193,206,235,168,116,79,99
best,2072,1246,1499,1867,2591,3596,5233,7035,7635,19868
interesting,1499,1195,1446,1875,2516,3443,4332,4252,2915,3555
beautiful,464,332,431,595,847,1346,2168,3500,3685,7525
perfect,593,352,384,500,766,1318,2623,4007,4225,9159
fantastic,195,120,177,197,363,567,1042,1828,2240,4348
definitely_worth,2,,3,11,26,127,312,418,311,352
cult_classic,37,16,22,14,31,51,81,113,63,167
die_hard,48,41,51,45,46,67,86,90,76,138
really_good,156,96,162,190,328,485,840,1041,915,1201
family,1250,598,704,870,1228,1878,2825,3407,2662,4522
visually_stunning,9,9,12,17,20,47,58,124,101,142
great_cast,52,37,58,71,91,121,190,266,252,550
terrible,3541,1367,1006,892,858,771,648,550,365,501
thought_provoking,23,19,25,17,27,42,100,183,213,366
surprisingly_good,1,11,12,14,33,91,171,184,104,77
bad_acting,813,273,217,151,121,82,74,51,32,63
high_school,303,148,133,136,199,259,313,369,286,362
better_expected,,,,,1,1,,,,
